Messier,NGC,Object type / Type d'objet,Season / Saison,Magnitude,Constellation (EN),Constellation (FR),Constellation (Latin),RA (Right Ascension),Dec (Declinaison),Distance (l.y / a. l.),Size / Dimensions,Discoverer / Découvreur,Year / Année,Image,URL de l'image,Constellation
M58,NGC 4579,Galaxy / Galaxie,Spring / Printemps,9,Virgin,Vierge,Virgo,12.628755555555555,11.818194444444444,41000000.0,"5,4' x 4,4'",Messier,1779.0,http://www.lasam.ca/messier/M058.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/fdae19a169fcd3dd1df72a00a8ca29ff,Vir
M60,NGC 4649,Galaxy / Galaxie,Spring / Printemps,8,Virgin,Vierge,Virgo,12.727772222222223,11.552694444444445,41000000.0,"7,2' x 6,2'",Koehler,1779.0,http://www.lasam.ca/messier/M060.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/f3eb52d394d6faf0a835a793b13a4925,Vir
M68,NGC 4590,Globular Cluster / Amas Globulaire,Spring / Printemps,8,"Hydra, Sea Snake",Hydre,Hydra,12.657780555555556,-25.25697222222222,36000.0,"9,8'",Méchain,1780.0,http://www.lasam.ca/messier/M068.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/463c07501631673232605106f7fae95f,Hya
M83,NGC 5236,Galaxy / Galaxie,Spring / Printemps,7,"Hydra, Sea Snake",Hydre,Hydra,13.616930555555555,-28.13458333333333,8500000.0,"11,0' x 10,0'",Lacaille,1751.0,http://www.lasam.ca/messier/M083.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/d1a983cfd6854a987f370d22aa518c60,Hya
M86,NGC 4406,Galaxy / Galaxie,Spring / Printemps,9,Virgin,Vierge,Virgo,12.436594444444445,12.946222222222222,20000000.0,"7,4' x 5,5'",Messier,1781.0,http://www.lasam.ca/messier/M086.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/27df2430c095f56f65f63bbb304b032e,Vir
M47,NGC 2422,Open Cluster / Amas Ouvert,Winter / Hiver,4,"Stern,Poop deck",Poupe,Puppis,7.609727777777778,-13.517388888888888,1750.0,"22,0'",Hodierna,1654.0,http://www.lasam.ca/messier/M047.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/095f19d850f27140faf38bb6f75d0d1c,Pup
M65,NGC 3623,Galaxy / Galaxie,Spring / Printemps,9,Lion,Lion,Leo,11.315533333333335,13.092361111111112,29000000.0,"10,0' x 3,3'",Méchain,1780.0,http://www.lasam.ca/messier/M065.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/0da15d5d0bb1bb0c0d3a876bcf6cebc0,Leo
M79,NGC 1904,Globular Cluster / Amas Globulaire,Winter / Hiver,8,Hare,Lièvre,Lepus,5.402941666666667,-23.47577777777778,43400.0,"7,8'",Méchain,1780.0,http://www.lasam.ca/messier/M079.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/4f70401504999a3f173169f160b545f3,Lep
M84,NGC 4374,Galaxy / Galaxie,Spring / Printemps,9,Virgin,Vierge,Virgo,12.417705555555555,12.886972222222221,41000000.0,"5,0' x 4,4'",Messier,1781.0,http://www.lasam.ca/messier/M084.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/5338a7e027e132bbb2c7e00b94249fa9,Vir
M20,NGC 6514,Emission Nebula / Nébuleuse à émission,Summer / Été,6,Archer,Sagittaire,Sagittarius,18.045030555555556,-21.028111111111112,2300.0,"29,0' x 27,0'",Le Gentil,1749.0,http://www.lasam.ca/messier/M020.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/78c02c7247e4b158d47d911995fa498b,Sgr
M10,NGC 6254,Globular Cluster / Amas Globulaire,Summer / Été,6,Serpent Holder,Ophiuchus,Ophiuchus,16.95249722222222,-3.9006666666666665,16300.0,"12,2'",Messier,1764.0,http://www.lasam.ca/messier/M010.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/dc53b1bdbeaec70be1cfffe6a8ddb11e,Oph
M14,NGC 6402,Globular Cluster / Amas Globulaire,Summer / Été,7,Serpent Holder,Ophiuchus,Ophiuchus,17.62671111111111,-2.7540833333333334,24000.0,"6,7'",Messier,1764.0,http://www.lasam.ca/messier/M014.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/d8d2764b73ed02dbff8168ea88e50b74,Oph
M24,NGC 6603,Open Cluster / Amas Ouvert,Summer / Été,11,Archer,Sagittaire,Sagittarius,18.282255555555555,-17.485444444444443,16000.0,"45,0'",Messier,1764.0,http://www.lasam.ca/messier/M024.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/dd4a0f4bd2108422bb8abb2fb6c453f7,Sgr
M33,NGC 598,Galaxy / Galaxie,Autumn / Automne,5,Triangle,Triangle,Triangulum,1.5641361111111112,30.66022222222222,2723000.0,"62,0. x 39,0'",Messier,1764.0,http://www.lasam.ca/messier/M033.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/69d661776ffd8a5b3cfdd819f0455a22,Tri
